内容,RPG,シミュレーション,シミュレーションRPG,テーブルゲーム,アクションゲーム,アドベンチャー,シューティング,アクションRPG,レースゲーム,ネットRPG,ネットSLG,素材集,育成,ボードゲーム,パズル,音楽ゲーム,サウンドノベル,体感ゲーム,教育,カードゲーム
美男子,◇,◇,◇,◎,◇,◇,◯,◇,◇,◇,◇,◇,◇,◇,◎,◇,◯,◇,◇,◇
探偵,◇,◇,◇,✕,◎,☆,✕,◇,✕,◇,◇,◇,◯,◇,◇,◎,☆,◇,◇,◇
ミステリー,◯,△,◇,◇,◇,☆,◇,◇,✕,◇,◇,◇,◇,△,△,◇,◯,◎,◇,◇
幕末,◯,◯,◇,◇,◯,☆,◇,◯,◎,◇,◇,◯,◇,◇,◇,◎,☆,◇,◇,◇
輪投げ,◇,◇,◇,◇,◇,◎,☆,◇,◇,◇,◇,◇,◇,◎,◇,◎,◇,◎,◇,◇
総理大臣,◇,◯,◇,△,◇,◇,✕,◇,◎,△,△,◇,◯,◇,◇,◇,◇,◯,◇,◇
株式,✕,◯,◇,◇,△,✕,△,◇,✕,◇,☆,◇,△,◇,✕,✕,✕,◎,◇,◇
アニメ,◯,☆,◇,◇,◯,☆,◇,◯,✕,◇,◇,◯,◇,◯,◇,◇,◇,◎,◇,◇
コスプレ,◎,◇,◇,✕,△,◎,◇,◇,◎,◇,◇,☆,◯,◇,◇,✕,◇,◎,◇,◇
アイドル,◇,☆,◇,◇,△,◇,✕,◇,✕,◇,☆,◯,☆,◇,◇,◯,◯,☆,◇,◇
パンチラ,◇,◇,◇,◇,◇,◇,◇,◇,◇,◎,◇,◎,◇,◇,◇,◎,◇,◎,◇,◇
ブラジャー,◇,◎,◇,◇,◇,◎,◇,◇,◎,◇,◇,☆,◇,◇,◇,◇,◎,◇,◇,◇
マツタケ,☆,☆,◇,◇,◇,◇,◎,◇,◎,◇,☆,◯,☆,✕,◇,✕,◇,△,◇,◇
ポンチョ,◇,◇,◇,☆,◇,◇,◇,☆,◇,◇,◎,◇,◇,◇,◇,◇,◇,◇,◇,◇
将棋,✕,◇,◇,◯,◇,◇,△,◇,◇,◇,◇,◯,◇,☆,◯,✕,△,◇,◇,◇
囲碁,✕,◇,◇,◯,△,◇,✕,◇,◎,◇,◇,◇,◇,◯,☆,◎,◇,◇,◇,◇
麻雀,◇,◯,◇,☆,◇,◇,◎,◇,✕,◇,◇,◇,◇,◯,◯,◎,◇,◇,◇,◇
リバーシ,◇,◇,◇,◯,◇,◇,◇,◇,✕,◇,◎,◇,◇,◯,☆,◇,✕,◇,◇,◇
ダンス,◎,◇,◇,◇,◎,◇,△,◎,◇,◇,◇,◇,◯,◇,◇,☆,◇,☆,◇,◇
ドラム,◇,◇,◇,◇,◯,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,☆,◇,☆,◇,◇
ﾌｨｯﾄﾈｽ,◇,◇,◇,◇,◇,◇,◇,◇,◎,◇,◇,◯,◇,◇,◇,◇,◇,☆,◇,◇
プロレス,△,◇,◇,△,◇,◇,◎,◇,✕,◇,◇,◇,☆,◇,◇,◇,◇,◎,◇,◇
バスケット,△,◇,◇,✕,☆,◇,◇,◎,◇,◇,◇,◇,◯,◇,△,◎,◇,◯,◇,◇
スキー,◇,◇,◇,◇,◯,◇,◇,◇,◯,◇,◇,◇,◇,◇,✕,◇,◇,☆,◇,◇
ｽﾉｰﾎﾞｰﾄﾞ,◇,◇,◇,△,◇,◇,◇,◇,☆,◇,◇,◯,◇,◎,◇,◯,◇,☆,◇,◇
ゴルフ,◎,◇,◇,◇,◎,◇,◯,◇,◇,◇,◇,◯,◇,◇,◇,◇,◇,◇,◇,◇
水泳,◇,◎,◇,◇,◯,◇,◇,✕,◯,◇,☆,◇,◯,◇,◇,△,◎,◇,◇,◇
ﾊﾞﾚｰﾎﾞｰﾙ,◇,◯,◇,△,◯,◇,◎,◇,◇,◇,◇,◇,◇,◇,△,◇,◇,☆,◇,◇
ﾓｰﾀｰｽﾎﾟｰﾂ,◇,☆,◇,◇,◯,△,◇,◇,☆,✕,◯,◇,◯,◇,✕,◇,◇,◯,◇,◇
サッカー,◇,☆,◇,◇,◯,◇,△,◇,✕,◇,◇,◯,☆,◇,◇,◇,◇,◇,◇,◇
卓球,◇,◇,◇,◇,◯,◎,△,◇,✕,◇,◇,◇,☆,◯,◇,◎,◇,◇,◇,◇
相撲,◎,◇,◇,◇,☆,◯,△,◇,✕,◇,◇,☆,◯,◇,◇,◇,◯,◇,◇,◇
野球,◇,◯,◇,◇,◯,◇,✕,△,◎,◇,◇,◇,◯,◯,◇,◇,◎,◇,◇,◇
レスリング,△,◇,◇,◎,◯,◇,◇,◇,◇,◇,◯,◇,◯,◇,◇,◎,◇,◎,◇,◇
マラソン,◯,◇,◇,◇,◯,✕,✕,◇,◯,◇,◇,◇,◇,◇,△,◇,◇,◇,◇,◇
F1,◎,☆,◇,◇,◯,◇,◎,◇,◯,◇,◇,◯,☆,◇,✕,◎,◇,◯,◇,◇
パチンコ,◇,◯,◇,◯,◎,◇,◇,◇,✕,◇,◇,◇,◇,◇,◇,◇,◇,☆,◇,◇
スロット,◇,◯,◇,◯,◇,◇,✕,◇,◇,△,◇,◇,◇,◯,◯,◇,◇,☆,◇,◇
萌え,◇,◯,◇,◇,◎,◯,◇,◇,◎,◇,◇,◯,☆,◇,◇,◎,☆,◎,◇,◇
港湾,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇
ﾀｲﾑｽﾘｯﾌﾟ,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇
スパイ,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇
芸能人,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇,◇
